<<<<<<< HEAD
up 6
forward 1
forward 2
forward 4
up 5
down 2
down 3
forward 9
down 9
down 3
forward 5
forward 3
down 1
up 7
forward 7
forward 5
down 8
up 6
down 7
forward 5
up 7
up 6
forward 2
forward 6
down 1
up 8
down 9
down 1
forward 9
up 9
down 2
forward 6
up 3
down 1
up 9
down 6
up 2
up 6
forward 9
forward 8
up 7
forward 6
up 3
up 4
down 6
forward 1
forward 9
down 9
down 6
forward 1
forward 2
up 3
down 4
down 9
down 3
down 2
forward 7
down 9
forward 9
forward 5
down 9
forward 1
forward 6
down 6
up 8
up 8
up 3
forward 7
forward 7
forward 8
down 5
forward 3
down 4
down 6
forward 1
down 1
forward 7
forward 2
down 7
down 1
up 6
forward 3
down 6
forward 2
down 6
forward 8
down 4
up 8
forward 9
up 5
forward 3
down 6
forward 4
forward 4
down 8
up 5
up 9
down 8
forward 1
down 6
down 3
forward 1
down 4
up 6
down 6
down 6
down 5
forward 5
forward 6
down 1
down 9
down 4
up 7
down 2
forward 5
down 8
down 8
down 6
down 1
up 8
down 1
down 4
forward 6
down 3
down 6
up 4
down 6
up 7
down 3
forward 2
up 3
forward 7
up 7
up 4
forward 5
down 9
down 2
down 9
up 6
forward 9
forward 3
down 1
forward 7
forward 2
down 5
forward 3
forward 7
forward 4
forward 7
forward 6
forward 3
down 6
forward 3
down 1
up 6
up 9
down 1
forward 1
down 1
up 7
forward 8
forward 4
up 4
forward 7
down 3
up 8
up 1
down 6
forward 8
forward 7
up 7
down 4
down 4
down 8
up 3
forward 5
down 4
forward 9
forward 6
forward 6
forward 7
down 6
down 3
forward 2
up 8
forward 1
down 9
up 7
down 3
down 3
up 5
up 4
up 8
forward 2
down 5
forward 7
up 8
up 6
forward 5
down 5
forward 2
down 6
forward 7
down 6
forward 5
forward 3
forward 9
down 7
forward 7
forward 7
forward 7
forward 1
forward 2
forward 2
down 6
down 8
forward 3
down 9
down 5
up 5
forward 3
forward 9
down 7
down 9
down 9
down 9
forward 6
down 1
forward 6
forward 8
forward 8
down 4
forward 8
down 9
forward 6
down 2
down 1
down 5
forward 5
forward 8
forward 7
forward 7
forward 8
down 5
forward 3
up 5
forward 5
down 9
up 8
down 2
forward 8
forward 5
up 5
forward 4
down 3
forward 4
up 3
forward 1
forward 8
forward 3
down 2
up 8
forward 2
down 8
forward 3
up 2
up 1
down 9
down 8
forward 1
forward 1
down 8
forward 9
up 2
forward 4
forward 2
up 2
down 8
down 1
forward 1
forward 3
forward 6
up 6
down 2
up 1
down 3
forward 3
up 5
down 9
down 7
forward 8
up 5
up 4
forward 8
forward 5
down 8
up 8
forward 7
up 8
down 6
down 2
down 3
forward 9
down 4
down 2
down 1
up 2
up 4
forward 3
forward 1
forward 9
forward 1
down 7
up 7
forward 5
down 3
forward 3
down 4
down 1
up 5
down 8
down 2
forward 4
up 9
down 3
down 3
down 2
forward 7
down 2
forward 6
up 8
forward 5
forward 5
up 9
forward 8
forward 9
down 5
forward 5
down 3
forward 5
down 1
forward 6
forward 6
forward 1
forward 2
up 5
forward 9
=======
C X
C Y
C X
B X
B Z
A Z
C Y
C Z
B Z
C X
B Y
C Y
C Y
A Y
C Y
C Y
C Z
C X
B Z
C Y
A Y
A Y
C Z
B Y
A Y
C Z
C Y
A Y
A Y
B Y
C Y
C Z
C Y
B X
B Z
C Y
B Z
A X
C Z
A Y
B Y
C Y
C Y
B Z
B Y
A Z
C X
C X
C Y
C X
B Z
A Y
B X
B Z
C Z
C X
C X
B Z
A Y
B Y
C Y
C Y
A Y
C X
A Y
B Z
C Y
C Y
B Y
C Y
A Z
A Z
B X
A Y
C Y
A Y
C Y
C Y
C X
C Y
B Z
C Y
C Z
C X
B X
C Y
C Y
C X
C Z
A Y
C X
B Z
C X
A Y
B Y
C Y
A Y
A Y
A Y
B Y
C Y
A Y
A Y
C Z
C Y
B Y
C X
C Y
B Z
B Z
C X
C Y
C X
C Y
C Y
A Y
C Y
C X
C Y
C Y
B Y
B Z
A Y
B Y
A Y
A Y
C Y
B X
C Y
C X
A Y
C X
C X
C Y
C Y
B Z
C X
A Y
B Z
C Z
C X
A Y
B Z
C Y
B Y
A Y
A Y
C Y
B Y
C Y
C X
C Y
A Y
C Y
A Y
B Y
C X
C Y
C Y
B Z
B Z
A Y
C Y
C Y
C Y
C Y
A Y
C X
C Z
C X
A Y
A Y
A Y
C Y
B Z
B Z
C Y
C Y
B X
C Y
C Y
B Z
B X
B Y
C Y
C Y
C X
B Y
B Z
B Z
C Y
C Y
C X
C X
A Y
C Y
C Y
B X
B Z
B X
B Z
B Y
C X
B X
B Y
B Z
B Z
B X
B Z
B Y
C X
C Y
C X
C X
B Z
C Y
C Y
C Y
B Z
C Y
C X
C Y
C Y
A Z
C Y
A Y
C Y
A Z
A X
C Y
C Y
C Y
C Z
B Z
B Z
C Y
B Z
B Z
C X
C Y
A Y
A Y
C Y
A Y
C Y
C Y
B Y
A Y
C Y
B Z
A Y
B Z
C X
C Y
A Y
B Z
A Y
C X
C Y
B Y
C Y
A Z
B Z
B X
C Y
A Y
A Z
C X
A Y
B Z
A Y
B Y
C Y
C Y
B Z
B Z
C X
B Z
C X
C Z
C Y
C X
A Y
C X
A Y
A Y
B Z
B Z
B Z
A Y
A Y
C Y
A Y
B Z
C X
C Y
C Y
C Y
B Y
A Y
C Z
C Y
A Y
A Y
B Z
C Y
C Y
C Y
B Z
C Y
C Y
A Y
A Y
C Y
C X
B Z
B Z
C X
C X
C Z
A Y
C Y
A Y
A Y
C X
A Z
B Y
A Y
C X
A Y
C X
C X
A Y
A Y
C X
B Y
B Z
C Y
C Z
C Y
C Y
B Z
C Y
A Y
A X
B Y
C Y
A Y
C Y
C Y
C Y
A Y
C Y
A Y
C Y
B Z
A Y
C X
C Y
A Y
C Y
A Y
A Y
A Y
B Z
C Y
B Z
A Y
C Y
A Y
C Y
C X
B Z
A Y
C X
B Z
B Y
C Y
C Z
C Y
B Y
B Y
A Y
A Y
C X
B Y
A Y
C Y
B X
C X
A Y
C Y
A Y
C Y
B Z
A Z
B Z
B Z
A Z
C Y
C Y
C X
B Y
C Y
A Y
C Y
C Y
B Y
B Z
C Y
C X
A Y
C X
C X
C Y
B Y
C Y
B Z
C Y
A Y
A Y
C Y
C X
C X
C X
C Y
C X
C Y
C Y
A Y
C Y
C X
C Y
C X
C X
C X
A Y
B Y
C Y
C Y
C Y
C Y
C Y
A Y
A X
B Z
C X
C Y
C Y
B Z
A Y
A Y
B X
B Z
C Y
C Y
B Z
A Y
A Y
A Y
C Y
C Y
A Y
A Y
C Y
C Y
C X
C X
C X
B Z
C Z
C X
A Z
C Y
C X
A Y
B Y
B Z
C X
C Y
C Y
C Z
C Y
C X
A Z
C Y
A X
B Y
C Y
C Y
C Y
C X
B Y
B Y
C X
B X
A Y
C Y
C Y
C Y
B X
C Y
A Y
C Y
C Y
B Z
C X
B X
C Z
C Y
A Y
B Y
B Z
C Z
C X
C X
A Y
A Y
B Z
A Y
C X
B Y
C Y
A Y
B X
A Y
A Y
C Z
C Y
C Z
B Z
A X
C Y
B Y
C Y
B Z
B Y
C Y
A Y
B Z
B Z
C X
B Z
C Y
B Z
B Z
C Y
C Y
B Z
C Z
C Y
B Z
C Y
B X
A Y
B Z
A Y
C Y
A Y
C Y
C Y
B Y
B Z
B Z
C Y
A Y
B Z
C X
C Y
C Y
A Y
C Y
C Y
C X
A Y
C Y
C Y
A Y
C X
A Y
A Y
A Y
C Y
C Y
A Y
B Z
A Y
B Y
A Y
A Y
C Y
C Y
C Z
A Y
C Y
B Z
A Y
C Y
C Z
C Y
C Y
B Z
C Y
C Y
B Z
B Y
C Y
A Y
C X
C Y
C Z
C Z
C X
C X
C X
C Z
C Y
B Z
A Y
B Z
B Z
A Y
C Y
C Y
C Y
B X
C Y
A Y
A Z
B Y
B Y
A Y
B Z
A Y
B Y
C Z
C Y
C Y
C Y
B Z
B Z
B Z
C Y
C Y
A Y
C X
C X
A Y
C Y
C Y
C Y
C Y
C X
C Y
C Y
C Y
C X
A Z
B Y
C Y
A Y
A Y
B Z
A Z
C Y
C Y
C Y
C X
B X
B Y
C Y
A Y
A Z
B X
C Y
C Y
B Z
A Y
A Y
B Z
B Z
C Y
C Y
C X
B Y
B Z
C Y
B Y
C Y
A Y
C X
C X
B Z
A Y
C Y
B Z
C X
C Y
B Y
B Z
A Z
B Y
B Y
C X
C Y
A Z
C X
C X
A Y
A Y
C X
A Y
B Y
B Z
A Y
B Z
B X
C Y
C Y
C X
B Z
A Y
B Y
A Y
C Y
C Z
B Z
C Y
A Y
C Y
C Z
A Z
B Z
B X
C Y
C Y
B Y
C X
B Y
B Z
B Z
B X
B Y
C X
C Y
C X
C Y
A Y
A Y
C Y
A Y
C Y
C X
C Y
A Y
B Z
C X
C Y
B Z
C Y
C Y
B Y
B Z
A X
C Y
B Y
B Y
B Z
C Y
B Z
A Y
C Y
B Y
C Y
A Y
C Y
B Z
C Y
A Y
A Y
C Y
A Y
C Y
A Y
A Y
B Z
C X
C Y
B Z
C Y
A X
A Z
C Y
C X
C X
C Y
C Y
B Z
A Z
A Y
C Y
B Z
A Y
A Y
C Y
B Z
A Y
C X
A Y
A Y
C X
B Z
B X
A X
A Y
B Y
A X
B X
C X
C Y
A Y
C Y
A Y
A Y
C X
B Y
C X
B Y
C Y
C Y
A Y
B Z
A Z
B Y
C X
C Y
C Y
B Z
C Z
A Y
A Y
A Z
C Y
A Y
B Z
C Y
C Y
B Y
A Y
A Y
C Y
C X
C X
B Y
B Z
C Y
B Y
B Z
C Y
A Y
B Z
A Y
A Y
A Z
C X
B Z
C Y
B Z
A Y
C X
C Y
C Y
B X
B Z
A Y
A Y
A Y
A Y
A Y
C Y
A Y
A Y
C X
C Y
C Z
B Z
A Z
C Z
A Y
B Z
B Y
A Y
C Y
B Z
A Y
C Y
C Y
A Y
C Y
B Z
B Y
B Z
C Y
C Y
C Y
A Z
C X
B X
B Z
C Z
C Y
C Y
C Y
C X
A Y
C Y
A Y
A Y
B Z
A Y
C Y
C Y
A Y
C Y
A Z
B X
A Y
C Y
A Y
A Z
A Y
A Y
B Z
B Y
B Z
C Y
B Z
C X
A Y
C Y
A Y
A Y
A Y
B Z
B Z
C Y
B Z
B Y
C X
A Y
C Y
A Y
B Z
C X
B Y
C Y
B Z
C Y
A Y
C Y
C Y
B Y
B Z
C Y
B Z
B Y
C Y
C X
A Z
C Z
C Y
C Y
A Y
A Y
C X
C Y
C Y
C Y
C X
B Z
C X
C Y
A Y
A Y
B Z
A Y
A Y
C Y
A Y
B Z
C X
C Y
C Y
C Y
C Y
C X
B Z
A Y
B Y
C Y
C X
B Z
C Y
A Y
A Y
B Z
C Y
A Y
C Z
C X
B Z
C Y
A Z
B Z
A Y
A Y
C Y
B Z
B Z
A Y
C Y
B Y
C Y
A Y
A Y
B Y
B X
B Z
C Y
A Y
C Y
A Y
A Y
B Z
B Y
A Y
A Y
A Y
C Y
B Y
C Y
A Y
C X
C Y
C Y
B Z
B Z
C Y
C Y
A Y
B X
C X
A Y
C Y
C Y
C Y
A Y
C X
B Z
A Y
C Z
B Y
B Y
C Z
A Y
C Z
C Y
C X
B Y
A Y
C X
C X
C Y
C X
C X
B Z
C Y
B Y
A Y
B Y
A Y
B Z
C X
C Y
C X
C Z
C X
B Z
C X
C Y
C Y
C Y
B Z
A Y
C Y
C Y
C Y
B Z
A Y
C X
C Y
C Y
C Y
C X
A Z
C Y
C Y
C X
B X
B Z
A Y
B Z
C Y
B Y
B Z
A Y
B Z
C Y
A Y
A X
C X
C X
C Y
A Y
B X
C Y
B X
B Z
C X
A Y
B X
C X
A Y
C Y
C Y
C Y
A Z
C Y
A Y
B Z
B Z
A Z
C Y
A Y
B Z
C Z
C X
C X
C X
A Y
A X
C Y
A Y
B Y
C Y
C X
C Y
C Y
A Y
B Z
C Y
B Z
A Y
C X
C Y
B Z
C Y
C Y
B Y
A Y
A Y
A Z
C Y
B Z
B Y
B Z
B Y
A Y
C Y
C Y
C X
C Y
C Y
B Z
C Y
C Y
C X
B Y
B Z
C Y
C Y
A Y
C Z
C Y
B Z
A Y
A X
A Y
C X
C Y
C Y
B Z
A Y
B X
C Z
C Z
C X
C Y
B Z
C Z
B Z
C Y
A Y
C Y
A Y
B X
C X
C Y
B Z
C Y
B Y
B X
B X
B Z
C Y
C Y
B Y
B Z
C Y
A Y
B Z
C Y
B Z
C Y
B Z
C Y
A Y
A Y
C Y
C Y
B Y
B Z
C Y
B Z
C X
B Z
C Y
B X
C X
B Z
A Y
C X
B Z
C Y
A Y
B Z
A X
B Z
B Z
B Z
C Y
C Y
C Y
C Y
A Y
A Y
B Z
B X
C X
C Y
B Y
A Y
A Y
B Z
C Y
A Y
A Y
C Y
C X
C Y
C X
C Y
C Y
C Y
B Z
C Y
C X
B Y
C Y
C Y
C Y
A Z
C X
C Y
A Y
C Y
B Z
B Y
C Y
A Y
A Y
C Y
C Y
C X
A Y
C Y
A Z
A Y
B Z
A Y
C X
C Y
C Y
B X
B Z
C X
B X
C Z
C X
B Z
B Z
C Y
C X
B Z
B Z
B Z
C Y
C Y
A Y
C Y
B Y
B X
C Y
C Y
C Y
B X
C X
B X
C Y
A Y
C Y
C X
C Y
C Y
B X
B Z
A Z
B Z
A Y
B Z
C X
B Z
C Y
C Y
C Z
A Y
C Y
C Y
A Z
B Y
C Y
A X
A Y
B Y
C Y
B Z
C Y
C X
C Y
B Z
A Y
C X
C Y
C X
C Y
C Y
C Z
A Y
C Y
B Z
A Y
C Z
C Y
A Y
C Y
C Y
C Y
C Y
A Y
C Y
C Y
C Y
C Y
B Z
C X
A Y
A Y
C Y
B Y
C Y
C Y
A Z
C Y
B Y
C Y
B Z
C X
A Y
C Y
C Y
B Z
C Y
A Y
A Y
C Y
B Z
C Y
A Y
B Z
C Y
C Y
B Z
C X
B Z
B Z
C Y
C Y
A Y
C X
A Y
C Y
B Z
A Y
B Z
A Y
C X
C Y
B Z
B Y
B Z
A Y
B Z
C Y
B Z
C Y
B Y
A Y
B Z
B X
B Z
C Y
B Z
B Z
B Z
A Y
A Y
C Y
B Z
B Z
C X
B Z
C Z
A Y
B Z
B Z
C Y
B Z
B Z
C X
C Z
A Z
C Y
C Y
B X
C Z
C Y
A Y
B Z
C X
B Z
C Y
C Y
B Z
B Z
B Z
C X
C Y
C X
C X
A Y
B Z
B Y
C Y
C Y
B Z
C Y
C Y
C Y
C Y
C Y
B X
A Y
A Y
B Y
C Y
B Y
C Y
B Y
B Z
C Y
C Y
C X
B Y
A Y
B X
B Z
C X
A X
C Y
A Y
A Y
C X
B Y
A Y
B Z
C X
B Z
C Z
C X
C Y
C X
C Y
C Y
C Y
B Y
C Z
C X
B Z
C Y
C X
C X
B Y
C Y
C Y
C Z
B Z
C Y
C Y
B Y
C Z
C X
B Z
C Y
C X
C Y
B Z
C Y
C Y
A Y
B Y
C X
C Y
C Y
C Y
B Y
B Y
C Z
B Z
C Y
B Z
A Z
C X
B X
C X
A Y
C Y
A Z
C X
C Y
A Y
A Y
B Y
A Y
C Y
B Y
C X
C X
C X
C X
C Y
C Y
A Y
B Z
C Y
A Z
C Y
A Y
B Z
B Z
C Y
A Z
C Y
C Y
C Y
B Z
C Y
C Y
A X
A Y
A Z
C Y
A Y
B X
A Y
B Z
B Y
B Z
B Y
C X
C X
A Y
B Z
B Y
C X
B X
B Y
A Y
C Y
C Y
C Y
B Z
C Y
A Y
B Z
C X
B Z
B Z
B X
B Y
C Y
C Y
C X
B Z
C Y
C Y
C Y
A Y
C Y
B Z
B Y
C Y
C X
C X
B X
B Z
A Z
C X
A Y
B Y
C Y
A Y
B Y
C Y
C Y
C Z
C Y
C X
A Y
C Y
C Y
B Z
C Y
C Y
C Y
C Y
A Y
B Z
B Z
C Y
C Y
C Y
C Y
C Y
B Z
C Y
C Y
C X
A Y
A Y
C Y
C X
A Y
B Z
A Y
C X
C Y
C Z
C Y
A Z
A Y
A Y
B Y
C Y
C Y
B Y
C Y
A Y
C X
B Z
C X
A Y
B Z
C X
A Y
C X
C X
A Z
A Y
B Y
A Y
B Y
A Z
C Y
C Y
C Y
B Z
C Y
A Y
B Z
B Y
C Y
B Y
C Z
A Y
B Y
C Y
B Y
A Y
B Z
C Y
C X
C Y
A Y
A Z
C Y
B Z
C Y
B Y
A Y
C X
A Z
C Z
C X
A Y
C X
C X
C Y
C Z
A Y
A Y
C Y
A Y
C Y
B Z
C X
A X
C X
C Y
C Y
C Y
C Y
B Z
B Z
B Z
C X
C Y
B Y
C Y
B Y
C Z
A X
B Y
C X
B Y
C X
B Y
C Y
B Z
C X
A Y
B Z
C X
A X
C Y
B Z
B Z
C X
B Z
B Z
C X
C Y
C Z
B Z
C Y
C Y
C Y
B X
A Y
B Y
B Z
B Z
C X
A Z
C Y
C Y
A Y
A X
A Y
C Y
B Y
C Y
A Y
C X
C Y
C Y
C Y
C Y
C Y
C Y
C Y
C Y
C Y
C Y
B Z
B Z
A Y
B Y
C Y
C Y
C X
B Z
A Y
C Y
B Z
C Y
A Y
C X
B X
C Z
A Y
C X
B Y
C X
B Z
A Y
C Y
C Y
C Y
B Z
B Z
A Z
C Z
A Y
B Z
C X
C Y
A Y
C Y
C Y
C X
B Z
C Z
C Y
B Z
A X
B Y
A Z
B X
C X
A Y
C Y
B Z
B Z
C Y
A Y
B Z
B Z
A Y
A Y
B Z
B Z
A X
B Z
C Y
C Z
C Y
C Y
B Z
C Y
A Z
A X
C X
B Y
B Z
C X
B Z
A X
A Y
A Y
B X
B Y
B Z
C X
C X
C X
C Y
C Y
B X
C Y
C Y
A Y
C X
A Y
B Z
A Y
C Y
B X
C X
C Y
A Y
C X
C Y
C Y
B Z
A Y
A Y
A Z
C Y
B Z
A Z
B X
A Z
C Y
B X
A Y
C Y
C Z
A Z
C X
A Y
B X
C Y
C Y
C X
C Z
A Y
A Y
C Y
B Z
C Y
C X
B X
A Y
B Y
B Z
B Z
C Y
C Y
A Y
B Z
B Z
C Y
C Z
C Y
C Y
C X
C X
A Y
B Z
A Y
B Z
B Z
C X
B X
C X
C Y
B X
B Z
C X
C X
C X
B Z
B Y
B Z
C Y
C Y
B Z
B Y
B Z
C Y
B Y
A Y
A Y
B Y
A Y
B Z
A Y
C X
A Y
C Z
B Y
C Y
C X
C X
C Y
C X
C Y
A Y
B Z
C X
C Y
C Y
C Y
C Y
C Y
B Y
A Y
B Z
C Y
A Z
C Y
B Z
C X
C Z
A Y
B Z
C X
C Y
B Z
C Y
A Y
C Y
C X
C X
C Y
A Y
B Y
A X
C Y
C Y
A Y
C Y
A X
C Y
B Y
C X
B Z
B Z
B Y
C Y
C Z
C X
B Z
B Z
B Y
C Z
A Y
C Y
C Y
B Y
C X
A Y
C Y
C Y
A Z
A Y
B Y
C Y
C Y
C X
B X
C Y
A Y
B Z
B Y
A Y
B Y
C Y
C X
C Y
C Y
C X
A Y
B Z
C X
C Z
B X
C Y
C X
C Y
C X
C Y
B Z
A Y
A Y
B Z
C Y
C Y
B Z
C Y
C X
B Z
C Y
B Z
C X
C Y
C X
A Y
C Y
A X
C Y
C X
A Y
C Y
A Y
C Y
A Y
C X
A Y
A Y
A Y
B Y
B Z
C Y
B Z
A Y
C Y
C X
B X
C Y
B Z
B X
B X
B Y
C Y
C X
C Y
C X
B Y
B Z
A Y
B Y
C Y
C Z
A Y
C Y
B Y
A Y
C X
C Y
A Y
C Y
A Z
C Z
C Y
B Z
C Y
C Y
B Y
A Y
C Z
A X
C Y
B Z
C Z
B X
C Y
C X
C X
B Z
B Z
B X
B Y
C Y
B Z
B Z
B Z
A Y
B Z
C Y
C Y
A Y
A X
C Z
A Y
C Z
C Y
C X
C Y
C X
B Z
C Y
A X
B Z
B Y
C Y
B Y
C Y
C Y
A Y
B Z
B Y
C Y
C X
C Y
C Y
B Z
A Y
B X
C Y
C Y
C Y
A Y
C Y
C Y
C X
C Z
C X
B Y
A Y
C Z
B Z
B Z
A Y
C Y
C X
B X
C X
B Z
A Y
C Y
C Y
B Z
A Y
B Y
C X
B Y
B Z
B Z
B Z
B X
B Y
B Z
C X
A Z
A Y
C Y
A Y
C Y
C Y
B Z
B Z
C X
B X
C Y
A Z
C Y
C X
C Y
B Y
C X
B Z
C Y
C X
B Z
A Y
A Y
C Y
A Y
A Z
C Y
A Z
A Y
C Y
C X
B X
C Y
C Y
C X
A Y
C X
C Y
B Z
B X
C Y
A Y
B X
C Y
B Y
C X
A Y
B Z
C Y
C Y
B Z
A Y
A Z
C Y
C Y
C X
A Y
B Z
B Z
B Y
B Z
A Y
C Y
A Y
B Y
A Y
C X
C Y
A Z
A Z
B Y
A Y
C Y
A X
C Y
C Y
B Z
C Y
C X
C Y
A Y
C Y
C Y
C Y
C Y
A X
C Y
B Y
C Y
A Y
C Y
C X
C X
C Z
B Z
A Y
B X
C Y
C Y
C Y
A Y
B Z
B Z
C Y
A Y
B Z
A Y
C X
C X
A Y
C Z
C Y
B Z
B Z
A Y
A Y
C Y
A Y
C Y
A Y
B Z
C X
C Y
C Y
A Y
C Y
A Y
A Z
B Y
C Y
C X
A Y
C X
A X
C Y
C Y
B Y
C Y
B Z
A Y
C X
B Z
A Y
C X
B Z
A Y
C Y
B Z
A Y
B Z
C X
C Y
C X
C Y
B Z
C Y
B Y
C Z
B Z
C Y
C Y
A X
C X
A Y
C Y
B Z
A Y
A Z
B Z
C Y
C Y
A Y
A Y
A Y
C X
C Y
A Z
C Y
C Z
A Y
A Y
C Y
C X
C X
C Z
C Y
C Z
B Z
A Y
B Z
B Z
C X
A Y
B Y
A Y
A Z
A Y
C Y
C Y
C Z
A Y
C Y
B Y
C X
C X
B X
C Y
A Y
C Z
A Y
B Z
B Y
C Y
A Y
A Y
C Y
C Y
C Y
C Y
C Y
C Y
C Y
A Y
B Y
A Y
B Y
B Y
C X
C X
C Y
A Y
C Y
C Y
C Z
C Y
C Y
B Y
C Y
B Y
A Y
C Y
B Z
C X
C Y
A Z
A Z
>>>>>>> 2022/main
